FileName;Город;City;Страна;Country;Google;EW;NS;Stat
Hong-Kong;Гонконг;Hong Kong;Китай;China;22.3;114.166667
Houston;Хьюстон;Houston;США;USA;29.762778;-95.383056
Incheon;Инчхон;Incheon;Южная Корея;South Korea;37.483333;126.633333
Irkutsk;Иркутск;Irkutsk;Россия;Russia;52.283333;104.3;25;20
Istanbul;Стамбул;Istanbul ;Турция;Turkey;41.01224;28.976018
Izmir;Измир;Izmir;Турция;Turkey;38.433333;27.15
Jacksonville;Джэксонвиль ;Jacksonville;США;USA;30.316667;-81.65
Jersey-City;Джерси-Сити;Jersey-City;США;USA;40.711389;-74.064722
Kaohsiung;Гаосюн;Kaohsiung;Китай;China;22.633333;120.266667
Kazan;Казань;Kazan;Россия;Russia;55.790833;49.114444;31;29
Kharkov;Харьков;Kharkov;Украина;Ukraine;50;36.25
Kiev;Киев;Kiev;Украина;Ukraine;50.45;30.5
Kitakyushu;Китакюсю;Kitakyushu;Япония;Japan;33.883333;130.883333
Kobe;Кобе;Kobe;Япония;Japan;34.699722;135.143333
Krasnoyarsk;Красноярск;Krasnoyarsk;Россия;Russia;56;92.933333;30;20
KrivoyRog;Кривой Рог;Kryvyi Rih;Украина;Ukraine;47.95;33.4
Kuala-Lumpur;Куала-Лумпур;Kuala Lumpur;Малайзия;Malaysia;3.1357;101.688
Kyoto;Киото;Kyoto;Япония;Japan;35.016667;135.766667
Las-Vegas;Лас-Вегас;Las Vegas;США;USA;36.175;-115.136389
Lausanne;Лозанна;Lausanne;Швейцария;Switzerland;46.519833;6.6335
Lille;Лилль;Lille;Франция;France;50.637222;3.063333
Lima;Лима;Lima;Перу;Peru;-12.043333;-77.028333
Linz;Линц;Linz;Австрия;Austria;48.303056;14.290556
Lisboa;Лиссабон;Lisbon;Португалия;Portugal ;38.7;-9.183333
Liverpool;Ливерпуль;Liverpool;Великобритания;United Kingdom;53.4;-2.983333
London;Лондон;London;Великобритания;United Kingdom;51.508056;-0.124722
Los-Angeles;Лос-Анджелес;Los Angeles;США;USA;34.05;-118.25
Lyon;Лион;Lyon;Франция;France;45.759723;4.842223
Madrid;Мадрид;Madrid;Испания;Spain;40.4;-3.683333
Manchester;Манчестер;Manchester;Великобритания;United Kingdom;53.466667;-2.233333
Manila;Манила;Manila;Филиппины;Philippines;14.583333;120.966667
Marseille;Марсель;Marseille;Франция;France;43.296386;5.369954
Medellin;Медельин;Medellin;Колумбия;Colombia;6.235925;-75.575136
Mexico;Мехико;Mexico;Мексика;Mexico;19.433333;-99.133333
Miami;Майами;Miami;США;USA;25.787778;-80.224167
Milan;Милан;Milan;Италия;Italy;45.464167;9.190278
Minneapolis;Миннеаполис;Minneapolis;США;USA;44.9801;-93.251867
Minsk;Минск;Minsk;Беларусь;Belarus;53.9;27.566667
Monterrey;Монтеррей;Monterrey;Мексика;Mexico;25.666667;-100.3
Montreal;Монреаль;Montreal;Канада;Canada;45.5;-73.666667
Moscow;Москва;Moscow;Россия;Russia;55.755786;37.617633;40;52
Mumbai;Мумбаи;Mumbai;Индия;India;18.975;72.825833
Munich;Мюнхен;Munich;Германия;Germany;48.133333;11.566667
Nagoya;Нагоя;Nagoya;Япония;Japan;35.183333;136.9
Naha;Наха;Naha;Япония;Japan;26.212222;127.678889
Nanjing;Нанкин;Nanjing;Китай;China;32.05;118.766667
Napoli;Неаполь;Naples;Италия;Italy;40.833333;14.25
New-York;Нью-Йорк;New-York;США;USA;40.716667;-74;27;45
Newark;Ньюарк;Newark;США;USA;40.735278;-74.185
Newcastle;Ньюкасл;Newcastle;Великобритания;United Kingdom;54.974;-1.6132
NNovgorod;Нижний Новгород;Nizhny Novgorod;Россия;Russia;56.316667;44;28;28
Novgorod;Великий Новгород;Novgorod;Россия;Russia;58.516667;31.283333;10;10
Novosibirsk;Новосибирск;Novosibirsk;Россия;Russia;55.033333;82.916667
NovyAfon;Новый Афон;New Athos;Абхазия;Abkhazia;43.083333;40.8
